filename	path	reason
data_genetic_ancestry.txt	data/sources/cbioportal/ancestry/brca_tcga_pan_can_atlas_2018/data_genetic_ancestry.txt	Not analyzed - may be unsupported format or error during analysis
meta_genetic_ancestry.txt	data/sources/cbioportal/ancestry/brca_tcga_pan_can_atlas_2018/meta_genetic_ancestry.txt	Not analyzed - may be unsupported format or error during analysis
data_genetic_ancestry.txt	data/sources/cbioportal/ancestry/luad_tcga_pan_can_atlas_2018/data_genetic_ancestry.txt	Not analyzed - may be unsupported format or error during analysis
meta_genetic_ancestry.txt	data/sources/cbioportal/ancestry/luad_tcga_pan_can_atlas_2018/meta_genetic_ancestry.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_patient.txt	data/sources/cbioportal/clinical/brca_tcga_pan_can_atlas_2018/data_clinical_patient.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_sample.txt	data/sources/cbioportal/clinical/brca_tcga_pan_can_atlas_2018/data_clinical_sample.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_supp_hypoxia.txt	data/sources/cbioportal/clinical/brca_tcga_pan_can_atlas_2018/data_clinical_supp_hypoxia.txt	Not analyzed - may be unsupported format or error during analysis
meta_clinical_patient.txt	data/sources/cbioportal/clinical/brca_tcga_pan_can_atlas_2018/meta_clinical_patient.txt	Not analyzed - may be unsupported format or error during analysis
meta_clinical_sample.txt	data/sources/cbioportal/clinical/brca_tcga_pan_can_atlas_2018/meta_clinical_sample.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_patient.txt	data/sources/cbioportal/clinical/luad_tcga_pan_can_atlas_2018/data_clinical_patient.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_sample.txt	data/sources/cbioportal/clinical/luad_tcga_pan_can_atlas_2018/data_clinical_sample.txt	Not analyzed - may be unsupported format or error during analysis
data_clinical_supp_hypoxia.txt	data/sources/cbioportal/clinical/luad_tcga_pan_can_atlas_2018/data_clinical_supp_hypoxia.txt	Not analyzed - may be unsupported format or error during analysis
meta_clinical_patient.txt	data/sources/cbioportal/clinical/luad_tcga_pan_can_atlas_2018/meta_clinical_patient.txt	Not analyzed - may be unsupported format or error during analysis
meta_clinical_sample.txt	data/sources/cbioportal/clinical/luad_tcga_pan_can_atlas_2018/meta_clinical_sample.txt	Not analyzed - may be unsupported format or error during analysis
data_armlevel_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/data_armlevel_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/data_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_log2_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/data_log2_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_armlevel_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/meta_armlevel_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/meta_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_cna_hg19_seg.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/meta_cna_hg19_seg.txt	Not analyzed - may be unsupported format or error during analysis
meta_log2_cna.txt	data/sources/cbioportal/cna/brca_tcga_pan_can_atlas_2018/meta_log2_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_armlevel_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/data_armlevel_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/data_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_log2_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/data_log2_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_armlevel_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/meta_armlevel_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/meta_cna.txt	Not analyzed - may be unsupported format or error during analysis
meta_cna_hg19_seg.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/meta_cna_hg19_seg.txt	Not analyzed - may be unsupported format or error during analysis
meta_log2_cna.txt	data/sources/cbioportal/cna/luad_tcga_pan_can_atlas_2018/meta_log2_cna.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	data/sources/cbioportal/expression/brca_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	Not analyzed - may be unsupported format or error during analysis
meta_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	data/sources/cbioportal/expression/luad_tcga_pan_can_atlas_2018/meta_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	Not analyzed - may be unsupported format or error during analysis
data_gene_panel_matrix.txt	data/sources/cbioportal/gene-panel/brca_tcga_pan_can_atlas_2018/data_gene_panel_matrix.txt	Not analyzed - may be unsupported format or error during analysis
